step,time,hour,orders_generated,total_orders,available_vehicles
0,2024-10-20 08:00:00,8,3,3,20
1,2024-10-20 08:01:00,8,1,4,20
2,2024-10-20 08:02:00,8,4,8,20
3,2024-10-20 08:03:00,8,1,9,20
4,2024-10-20 08:04:00,8,2,11,20
5,2024-10-20 08:05:00,8,4,15,20
6,2024-10-20 08:06:00,8,4,19,20
7,2024-10-20 08:07:00,8,2,21,20
8,2024-10-20 08:08:00,8,3,24,20
9,2024-10-20 08:09:00,8,1,25,20
10,2024-10-20 08:10:00,8,3,28,20
11,2024-10-20 08:11:00,8,4,32,20
12,2024-10-20 08:12:00,8,4,36,20
13,2024-10-20 08:13:00,8,0,36,20
14,2024-10-20 08:14:00,8,4,40,20
15,2024-10-20 08:15:00,8,1,41,20
16,2024-10-20 08:16:00,8,0,41,20
17,2024-10-20 08:17:00,8,2,43,20
18,2024-10-20 08:18:00,8,1,44,20
19,2024-10-20 08:19:00,8,4,48,20
20,2024-10-20 08:20:00,8,1,49,20
21,2024-10-20 08:21:00,8,2,51,20
22,2024-10-20 08:22:00,8,4,55,20
23,2024-10-20 08:23:00,8,5,60,20
24,2024-10-20 08:24:00,8,0,60,20
25,2024-10-20 08:25:00,8,2,62,20
26,2024-10-20 08:26:00,8,2,64,20
27,2024-10-20 08:27:00,8,2,66,20
28,2024-10-20 08:28:00,8,2,68,20
29,2024-10-20 08:29:00,8,2,70,20
30,2024-10-20 08:30:00,8,1,71,20
31,2024-10-20 08:31:00,8,3,74,20
32,2024-10-20 08:32:00,8,3,77,20
33,2024-10-20 08:33:00,8,4,81,20
34,2024-10-20 08:34:00,8,2,83,20
35,2024-10-20 08:35:00,8,3,86,20
36,2024-10-20 08:36:00,8,1,87,20
37,2024-10-20 08:37:00,8,1,88,20
38,2024-10-20 08:38:00,8,2,90,20
39,2024-10-20 08:39:00,8,3,93,20
40,2024-10-20 08:40:00,8,2,95,20
41,2024-10-20 08:41:00,8,2,97,20
42,2024-10-20 08:42:00,8,3,100,20
43,2024-10-20 08:43:00,8,0,100,20
44,2024-10-20 08:44:00,8,2,102,20
45,2024-10-20 08:45:00,8,5,107,20
46,2024-10-20 08:46:00,8,1,108,20
47,2024-10-20 08:47:00,8,0,108,20
48,2024-10-20 08:48:00,8,3,111,20
49,2024-10-20 08:49:00,8,3,114,20
50,2024-10-20 08:50:00,8,2,116,20
51,2024-10-20 08:51:00,8,6,122,20
52,2024-10-20 08:52:00,8,3,125,20
53,2024-10-20 08:53:00,8,2,127,20
54,2024-10-20 08:54:00,8,1,128,20
55,2024-10-20 08:55:00,8,1,129,20
56,2024-10-20 08:56:00,8,1,130,20
57,2024-10-20 08:57:00,8,3,133,20
58,2024-10-20 08:58:00,8,1,134,20
59,2024-10-20 08:59:00,8,4,138,20
60,2024-10-20 09:00:00,9,1,139,20
61,2024-10-20 09:01:00,9,2,141,20
62,2024-10-20 09:02:00,9,0,141,20
63,2024-10-20 09:03:00,9,2,143,20
64,2024-10-20 09:04:00,9,3,146,20
65,2024-10-20 09:05:00,9,1,147,20
66,2024-10-20 09:06:00,9,0,147,20
67,2024-10-20 09:07:00,9,3,150,20
68,2024-10-20 09:08:00,9,3,153,20
69,2024-10-20 09:09:00,9,1,154,20
70,2024-10-20 09:10:00,9,1,155,20
71,2024-10-20 09:11:00,9,2,157,20
72,2024-10-20 09:12:00,9,2,159,20
73,2024-10-20 09:13:00,9,1,160,20
74,2024-10-20 09:14:00,9,1,161,20
75,2024-10-20 09:15:00,9,1,162,20
76,2024-10-20 09:16:00,9,1,163,20
77,2024-10-20 09:17:00,9,3,166,20
78,2024-10-20 09:18:00,9,2,168,20
79,2024-10-20 09:19:00,9,2,170,20
80,2024-10-20 09:20:00,9,0,170,20
81,2024-10-20 09:21:00,9,2,172,20
82,2024-10-20 09:22:00,9,2,174,20
83,2024-10-20 09:23:00,9,0,174,20
84,2024-10-20 09:24:00,9,2,176,20
85,2024-10-20 09:25:00,9,3,179,20
86,2024-10-20 09:26:00,9,0,179,20
87,2024-10-20 09:27:00,9,4,183,20
88,2024-10-20 09:28:00,9,0,183,20
89,2024-10-20 09:29:00,9,1,184,20
90,2024-10-20 09:30:00,9,4,188,20
91,2024-10-20 09:31:00,9,0,188,20
92,2024-10-20 09:32:00,9,2,190,20
93,2024-10-20 09:33:00,9,2,192,20
94,2024-10-20 09:34:00,9,3,195,20
95,2024-10-20 09:35:00,9,2,197,20
96,2024-10-20 09:36:00,9,4,201,20
97,2024-10-20 09:37:00,9,3,204,20
98,2024-10-20 09:38:00,9,1,205,20
99,2024-10-20 09:39:00,9,0,205,20
